VENDOR_NAME,VENDOR_NBR,SKU_NBR,DC_ID,PO_NBR,FISCAL_WEEK_NBR,MDSE_GRP_DSC,DIRECTOR,CAT_NBR,CATEGORY,SKU_DSC,DNP_RANKING,COMBINED_ACTION,COMBINED_CAUSE,ACTION_TAKEN_ON_TIME,FILL_RATE_ISSUE,SUM_ORDERED,SUM_RCVD,FILL_RATE,FILL_RATE_WK_1,FILL_RATE_WK_2,FILL_RATE_WK_3,FILL_RATE_WK_4,FILL_RATE_WK_5,FILL_RATE_WK_6,FILL_RATE_WK_7,VENDOR_ISSUE,OOS_LIKELY,LATE_ISSUE,STA_DT,REQUESTED_DT,APPT_DT,TRAILER_ARRIVE_DT,RECEIVED_DT,RECEIPT_DELAY_DAYS,RECEIPT_DELAY_WK_1_AGO,RECEIPT_DELAY_WK_2_AGO,RECEIPT_DELAY_WK_3_AGO,RECEIPT_DELAY_WK_4_AGO,DC_BOH_QTY,STORE_BOH_QTY,ON_WITHDRAWAL_QTY,TOTAL_WEEKS_OF_SUPPLY,IN_STOCK_PERCENT,STORE_IN_STOCK_PCT,ACTIVE_IND,DISCON_IND,OOS_LIKELY2,AVG_FILL_RATE_4WK,AVG_RECEIPT_DELAY_4WK,AVG_FILL_RATE_8WK,AVG_RECEIPT_DELAY_8WK,SKU_AVG_MARGIN,TOTAL_UNITS_ORDERED,STORE_COUNT
AKZE,32274,71694,IL,32010,202539,CONSUMER HEALTH CARE,BRUCE BANNER,4,PAIN MANAGEMENT,Hand Sanitizer 8oz,Top 50%,Vendor Outreach,Vendor capacity constraint,Y,Y,457,358,78.3,80.3,89.9,73.1,82.2,90.8,84.1,72.6,Y,N,N,2025-08-17,2025-08-14,2025-08-14,2025-08-15,2025-08-16,2.8,5.7,4.2,2.2,4.6,373,1660,160,26.42,0.8266,0.875,A,N,N,81.4,4.2,81.3,7.4,0.419,457,10
BIOMED,48902,97900,IL,32011,202535,BEAUTY & PERSONAL CARE,BRUCE BANNER,6,HAIR CARE,Probiotic 30ct,Top 50%,Vendor Outreach,Partial shipment,N,N,219,207,94.3,100,92.2,90.8,100,88.7,90.8,88.1,N,N,N,2025-08-12,2025-08-13,2025-08-15,2025-08-16,2025-08-17,2.9,4.5,7.0,-0.7,6.3,280,1757,0,23.19,0.7881,0.7591,A,N,N,95.8,4.3,93.3,1.6,0.2988,219,119
PRIMECARE,34567,32241,TX,32012,202539,BEAUTY & PERSONAL CARE,BRUCE BANNER,5,PERSONAL CARE,Diaper Size 3 160ct,Top 10%,Vendor Outreach,Transportation issue,N,N,434,384,88.5,83.1,100,90.0,90.5,99.4,87.4,89.5,Y,Y,Y,2025-09-11,2025-09-13,2025-09-13,2025-09-14,2025-09-15,19.3,16.0,20.9,23.7,17.1,112,410,265,38.39,0.4858,0.4915,A,N,Y,90.9,19.4,91.1,20.3,0.4004,434,296
HEALTHCORP,80021,68008,NC,32013,202542,PET CARE,BRUCE BANNER,9,PET SUPPLIES,Probiotic 30ct,Top 10%,Escalate to Merchant,Vendor capacity constraint,Y,Y,131,95,72.7,70.7,66.6,73.7,72.9,84.1,73.7,63.0,Y,Y,N,2025-09-27,2025-09-28,2025-09-28,2025-09-28,2025-09-28,2.4,-2.0,4.1,2.7,5.1,118,834,78,24.7,0.5826,0.539,A,N,Y,71.0,2.5,71.5,3.9,0.4748,131,209
SUNRISE,88345,12560,NC,32014,202534,BEAUTY & PERSONAL CARE,PETER PARKER,7,SKIN CARE,Sunscreen SPF50 4oz,Top 50%,Vendor Outreach,>5 days late,N,N,202,195,96.3,100,80.5,84.7,100,85.9,93.2,97.3,N,N,N,2025-09-23,2025-09-23,2025-09-23,2025-09-23,2025-09-24,1.1,3.2,-2.3,4.0,2.5,303,1205,13,25.24,0.7243,0.7172,A,N,N,91.3,1.9,91.3,2.7,0.2473,202,242
HEALTHCORP,80021,59692,OH,32015,202535,BEAUTY & PERSONAL CARE,BRUCE BANNER,7,SKIN CARE,Bandage Assorted 30ct,Top 50%,Vendor Outreach,Manufacturing shortage,Y,Y,433,276,63.7,59.9,71.1,63.7,55.5,52.4,55.9,52.8,Y,Y,N,2025-08-08,2025-08-09,2025-08-09,2025-08-10,2025-08-12,4.6,6.8,1.1,4.8,8.0,131,1620,188,23.94,0.3671,0.3778,A,N,Y,62.5,5.2,59.4,4.2,0.3604,433,169
ULTRAMED,75012,59192,NY,32016,202537,CONSUMER HEALTH CARE,PETER PARKER,4,PAIN MANAGEMENT,Allergy Relief 24ct,Top 50%,Vendor Outreach,>5 days late,N,N,445,398,89.5,83.7,76.2,92.5,79.6,99.0,92.0,87.9,Y,Y,Y,2025-09-10,2025-09-13,2025-09-14,2025-09-16,2025-09-17,15.7,14.7,19.0,11.2,21.7,90,1552,267,24.6,0.6862,0.6632,A,N,Y,83.0,16.6,88.5,17.5,0.296,445,147
SYNCO,67441,21359,OH,32017,202541,BABY & CHILD,NATASHA ROMANOV,8,BABY CARE,Dog Food Dry 20lb,Top 50%,Vendor Outreach,Transportation issue,,Y,392,222,56.7,47.4,72.1,59.5,59.0,61.7,58.9,49.7,Y,Y,Y,2025-08-16,2025-08-18,2025-08-19,2025-08-26,2025-08-28,19.2,22.0,16.6,17.3,19.0,388,542,243,43.28,0.5584,0.5575,A,N,Y,59.5,18.7,58.2,17.8,0.2095,392,198
BIOMED,48902,79588,GA,32018,202539,BEAUTY & PERSONAL CARE,NATASHA ROMANOV,7,SKIN CARE,Cat Litter 40lb,Top 10%,Vendor Outreach,Vendor capacity constraint,,Y,282,146,51.9,51.9,56.0,53.3,55.7,38.7,48.9,54.1,Y,Y,N,2025-08-20,2025-08-17,2025-08-19,2025-08-19,2025-08-20,1.4,3.3,7.0,0.7,0.6,23,161,283,58.01,0.4169,0.4613,A,N,Y,54.2,2.9,51.9,0.7,0.228,282,255
HEALTHCORP,80021,34164,CA,32019,202535,BEAUTY & PERSONAL CARE,DIANA PRINCE,5,PERSONAL CARE,Sunscreen SPF50 4oz,Top 10%,Vendor Outreach,Vendor capacity constraint,N,N,255,236,92.4,82.2,81.6,86.7,100,100,95.6,91.3,N,N,N,2025-08-29,2025-08-29,2025-08-30,2025-08-31,2025-09-01,-0.3,-4.5,-3.6,0.3,3.3,291,1321,30,24.86,0.8768,0.9008,A,N,N,87.6,-1.1,91.6,-1.5,0.3972,255,90
MEDIQ,55013,82350,TX,32020,202540,CONSUMER HEALTH CARE,THOR ODINSON,3,COLD & ALLERGY,Antacid Tablet 100ct,Top 50%,Escalate to Merchant,Manufacturing shortage,,Y,354,215,60.7,67.2,62.0,57.5,76.2,66.0,63.2,59.4,Y,Y,N,2025-09-22,2025-09-20,2025-09-20,2025-09-20,2025-09-20,2.1,7.4,-1.3,3.8,-1.8,405,679,291,40.5,0.6685,0.6624,A,N,Y,65.7,2.0,62.9,0.3,0.343,354,234
GREENLEAF,61234,15224,NY,32021,202538,BEAUTY & PERSONAL CARE,BRUCE BANNER,6,HAIR CARE,Immune Support 60ct,Bottom 50%,Vendor Outreach,>5 days late,N,N,167,166,99.4,100,100,90.4,100,89.8,96.4,93.8,Y,N,Y,2025-09-07,2025-09-07,2025-09-09,2025-09-12,2025-09-12,6.6,2.3,7.4,8.2,5.6,240,762,209,31.78,0.7967,0.8137,A,N,N,97.6,5.9,96.6,4.5,0.2297,167,215
AKZE,32274,69614,TX,32022,202539,BEAUTY & PERSONAL CARE,CAROL DANVERS,6,HAIR CARE,Bandage Assorted 30ct,Top 10%,Vendor Outreach,>5 days late,Y,N,445,405,91.1,67.4,88.9,85.6,82.7,86.7,93.8,82.4,Y,N,Y,2025-09-14,2025-09-14,2025-09-14,2025-09-14,2025-09-16,15.4,19.2,16.5,19.0,18.3,311,1686,122,25.14,0.9058,0.8869,A,N,N,81.2,18.2,84.5,20.2,0.3077,445,70
MEDIQ,55013,75323,OH,32023,202540,PET CARE,BRUCE BANNER,9,PET SUPPLIES,Bandage Assorted 30ct,Top 50%,Vendor Outreach,Vendor capacity constraint,Y,N,291,258,88.7,89.4,81.2,86.2,97.1,84.2,100,77.7,N,N,N,2025-09-16,2025-09-15,2025-09-17,2025-09-18,2025-09-18,-0.1,-2.9,4.4,-0.1,0.1,228,1153,247,28.24,0.8001,0.8053,A,N,N,88.5,0.4,87.4,-0.2,0.5413,291,132
VITAGEN,91123,40613,NY,32024,202541,CONSUMER HEALTH CARE,BRUCE BANNER,1,DIGESTIVE HEALTH,Cough Syrup 8oz,Top 50%,Escalate to Merchant,Weather delay,,Y,465,264,56.8,70.9,55.8,54.1,53.0,60.9,55.9,63.8,Y,Y,Y,2025-09-25,2025-09-27,2025-09-27,2025-09-27,2025-09-28,7.5,6.9,12.8,11.4,9.2,400,592,173,39.36,0.5493,0.539,A,N,Y,58.5,10.1,58.9,11.7,0.4234,465,259
AKZE,32274,90931,TX,32025,202537,CONSUMER HEALTH CARE,NATASHA ROMANOV,4,PAIN MANAGEMENT,Multivitamin 90ct,Bottom 50%,Escalate to Merchant,>5 days late,N,Y,272,226,83.0,86.5,83.8,70.5,86.9,85.8,82.4,84.8,Y,Y,Y,2025-09-06,2025-09-08,2025-09-08,2025-09-09,2025-09-09,10.9,10.1,13.7,13.2,13.8,40,1298,195,23.62,0.5479,0.522,A,N,Y,81.9,12.7,83.3,12.1,0.3068,272,14
BIOPLEX,72398,98815,AZ,32026,202541,CONSUMER HEALTH CARE,CAROL DANVERS,3,COLD & ALLERGY,Allergy Relief 24ct,Top 10%,Vendor Outreach,Manufacturing shortage,,N,350,313,89.5,100,86.6,83.0,91.3,100,89.4,95.6,N,N,N,2025-08-18,2025-08-15,2025-08-17,2025-08-17,2025-08-19,0.5,2.3,3.0,0.4,4.9,381,1067,146,29.88,0.925,0.898,A,N,N,90.2,2.6,91.8,3.1,0.2128,350,80
NOVAPHARM,41892,92242,CA,32027,202534,BEAUTY & PERSONAL CARE,THOR ODINSON,5,PERSONAL CARE,Hand Sanitizer 8oz,Bottom 50%,Escalate to Merchant,Transportation issue,N,Y,424,194,45.8,40.5,51.8,42.0,41.2,48.5,49.5,29.9,Y,Y,Y,2025-08-31,2025-09-03,2025-09-04,2025-09-09,2025-09-10,11.5,16.3,8.6,11.3,17.1,411,285,239,65.61,0.6852,0.6493,A,N,Y,43.9,13.3,44.9,12.5,0.1406,424,212
BIOPLEX,72398,80329,TX,32028,202538,BABY & CHILD,CAROL DANVERS,8,BABY CARE,Eye Drops 0.5oz,Bottom 50%,Escalate to Merchant,Weather delay,,Y,471,321,68.1,59.8,76.8,57.2,70.1,74.8,65.6,59.2,Y,Y,Y,2025-09-30,2025-09-27,2025-09-28,2025-10-05,2025-10-05,15.5,12.7,17.6,14.1,14.1,49,530,275,32.23,0.3543,0.3497,A,N,Y,66.0,14.6,66.6,13.0,0.427,471,222
NOVAPHARM,41892,74139,NC,32029,202534,BEAUTY & PERSONAL CARE,PETER PARKER,7,SKIN CARE,Bandage Assorted 30ct,Bottom 50%,Vendor Outreach,Weather delay,Y,Y,161,96,59.5,47.9,74.5,54.7,69.4,66.6,38.3,53.4,Y,Y,Y,2025-08-06,2025-08-08,2025-08-08,2025-08-13,2025-08-15,11.4,10.1,19.2,16.7,9.6,305,93,25,90.97,0.6147,0.5891,A,N,Y,61.6,13.9,58.6,15.7,0.3639,161,129
MEDIQ,55013,88116,CA,32030,202536,BEAUTY & PERSONAL CARE,THOR ODINSON,5,PERSONAL CARE,Shampoo 12oz,Top 50%,Escalate to Merchant,Low fill rate (<85%),,Y,458,218,47.7,46.7,46.1,61.8,49.0,48.2,54.8,48.9,Y,Y,N,2025-08-07,2025-08-07,2025-08-09,2025-08-09,2025-08-11,3.2,4.1,3.1,-0.2,3.8,22,1539,266,23.74,0.4207,0.435,A,N,Y,50.9,2.7,49.7,9.8,0.1486,458,237
NOVAPHARM,41892,52219,NC,32031,202536,CONSUMER HEALTH CARE,THOR ODINSON,3,COLD & ALLERGY,Allergy Relief 24ct,Top 50%,Escalate to Merchant,Low fill rate (<85%),Y,Y,374,246,65.8,71.4,64.0,58.2,60.3,62.0,57.3,65.5,Y,Y,N,2025-08-14,2025-08-14,2025-08-15,2025-08-15,2025-08-16,3.6,6.2,0.1,4.2,-1.2,173,1744,232,24.64,0.4595,0.4825,A,N,Y,63.5,2.3,62.9,3.9,0.4091,374,252
NOVAPHARM,41892,21188,TX,32032,202539,BEAUTY & PERSONAL CARE,THOR ODINSON,7,SKIN CARE,Pain Reliever 50ct,Bottom 50%,Vendor Outreach,Manufacturing shortage,,N,334,287,85.9,95.8,83.1,81.9,78.7,99.2,72.3,70.1,N,N,N,2025-09-12,2025-09-12,2025-09-12,2025-09-12,2025-09-13,-1.6,1.5,-3.9,-3.2,-3.4,432,1189,188,30.43,0.7333,0.7112,A,N,N,84.9,-2.2,83.2,-1.9,0.3761,334,295
GREENLEAF,61234,96223,OH,32033,202538,CONSUMER HEALTH CARE,NATASHA ROMANOV,1,DIGESTIVE HEALTH,Moisturizer SPF30 3oz,Bottom 50%,Escalate to Merchant,>5 days late,N,Y,208,167,80.5,88.9,77.5,84.6,87.8,89.7,92.4,86.1,Y,Y,Y,2025-08-24,2025-08-23,2025-08-25,2025-08-30,2025-09-01,20.6,20.5,18.5,18.2,21.9,305,223,26,49.69,0.3622,0.3876,A,N,Y,84.7,19.8,86.2,20.1,0.3185,208,236
BIOPLEX,72398,38255,AZ,32034,202540,CONSUMER HEALTH CARE,CAROL DANVERS,2,VITAMINS & SUPPLEMENTS,Eye Drops 0.5oz,Top 10%,Vendor Outreach,Weather delay,N,N,397,378,95.2,83.4,96.2,100,97.5,94.4,94.6,93.5,Y,N,Y,2025-08-09,2025-08-09,2025-08-11,2025-08-12,2025-08-14,8.1,10.1,7.7,9.6,4.9,286,1756,181,25.32,0.7209,0.7571,A,N,N,94.3,8.1,94.4,8.5,0.3591,397,217
ULTRAMED,75012,64747,OH,32035,202534,CONSUMER HEALTH CARE,BRUCE BANNER,2,VITAMINS & SUPPLEMENTS,Fiber Supplement 90ct,Top 10%,Vendor Outreach,Low fill rate (<85%),Y,N,137,133,97.0,97.4,85.9,86.8,100,95.3,100,92.0,N,N,N,2025-08-11,2025-08-08,2025-08-10,2025-08-10,2025-08-12,2.1,0.0,3.7,0.7,4.4,261,447,178,39.64,0.8018,0.8476,A,N,N,92.5,2.2,94.1,1.3,0.2152,137,98
MEDIQ,55013,95918,TX,32036,202541,CONSUMER HEALTH CARE,NATASHA ROMANOV,3,COLD & ALLERGY,Sunscreen SPF50 4oz,Top 50%,Vendor Outreach,Manufacturing shortage,N,N,439,411,93.7,86.8,78.7,79.1,75.3,84.3,100,90.2,N,N,N,2025-08-30,2025-08-30,2025-08-30,2025-08-30,2025-08-31,1.3,4.3,2.5,-2.5,0.6,425,637,39,34.57,0.887,0.9347,A,N,N,80.0,1.2,86.2,3.5,0.3611,439,31
GREENLEAF,61234,95437,IL,32037,202541,BEAUTY & PERSONAL CARE,PETER PARKER,6,HAIR CARE,Immune Support 60ct,Top 50%,Vendor Outreach,Demand spike,Y,Y,81,48,59.8,65.6,65.5,45.7,63.1,59.4,58.4,58.0,Y,Y,N,2025-08-25,2025-08-25,2025-08-26,2025-08-26,2025-08-28,3.0,-1.1,2.4,-1.4,8.1,331,735,33,29.9,0.4319,0.4377,A,N,Y,60.0,2.0,59.1,3.0,0.3622,81,82
BIOPLEX,72398,95990,NY,32038,202535,CONSUMER HEALTH CARE,DIANA PRINCE,3,COLD & ALLERGY,Immune Support 60ct,Bottom 50%,Escalate to Merchant,Low fill rate (<85%),Y,Y,242,165,68.3,66.3,72.0,62.6,49.7,86.0,68.0,78.2,Y,Y,N,2025-09-01,2025-08-30,2025-08-30,2025-08-30,2025-08-30,1.6,4.1,0.4,3.0,3.2,39,655,51,22.75,0.5031,0.5071,A,N,Y,62.6,2.7,70.4,2.5,0.3688,242,88
MEDIQ,55013,91885,FL,32039,202540,BABY & CHILD,THOR ODINSON,8,BABY CARE,Vitamin C 500mg 60ct,Top 50%,Escalate to Merchant,Demand spike,,Y,418,211,50.5,40.7,44.3,52.8,50.4,41.8,43.8,49.0,Y,Y,N,2025-08-29,2025-08-29,2025-08-30,2025-08-31,2025-09-02,3.7,5.3,2.6,2.0,0.2,270,907,82,27.76,0.6268,0.6569,A,N,Y,47.0,2.5,47.0,3.7,0.5204,418,274
BIOPLEX,72398,20993,FL,32040,202542,BEAUTY & PERSONAL CARE,DIANA PRINCE,5,PERSONAL CARE,Hand Sanitizer 8oz,Top 10%,Vendor Outreach,>5 days late,Y,N,273,236,86.4,98.9,78.5,100,74.2,79.5,90.5,80.8,Y,N,Y,2025-09-20,2025-09-18,2025-09-18,2025-09-18,2025-09-19,7.2,9.3,14.0,8.4,9.5,469,1749,241,28.12,0.9019,0.8658,A,N,N,87.9,10.3,85.3,9.7,0.1086,273,120
BIOMED,48902,89807,AZ,32041,202538,BEAUTY & PERSONAL CARE,THOR ODINSON,7,SKIN CARE,Pain Reliever 50ct,Bottom 50%,Vendor Outreach,Transportation issue,,N,112,96,85.7,77.3,73.2,92.6,82.0,86.7,94.6,79.6,Y,N,Y,2025-08-23,2025-08-21,2025-08-23,2025-08-26,2025-08-26,6.2,1.9,4.0,6.2,6.4,340,1418,43,25.4,0.8518,0.8379,A,N,N,81.3,4.6,84.7,3.9,0.1092,112,250
ULTRAMED,75012,60709,GA,32042,202539,BEAUTY & PERSONAL CARE,PETER PARKER,5,PERSONAL CARE,Antacid Tablet 100ct,Bottom 50%,Vendor Outreach,Demand spike,N,N,226,200,88.6,86.5,85.5,76.9,82.0,93.6,94.1,82.5,N,N,N,2025-09-15,2025-09-18,2025-09-19,2025-09-19,2025-09-20,3.8,7.5,7.2,3.4,4.5,103,139,102,49.5,0.9569,0.9385,A,N,N,82.7,5.7,86.5,5.0,0.214,226,107
HEALTHCORP,80021,16265,GA,32043,202539,BEAUTY & PERSONAL CARE,BRUCE BANNER,5,PERSONAL CARE,Pain Reliever 50ct,Top 50%,Escalate to Merchant,Low fill rate (<85%),Y,Y,254,185,72.7,80.2,78.9,67.8,81.9,71.2,54.5,73.0,Y,Y,N,2025-09-04,2025-09-03,2025-09-04,2025-09-04,2025-09-04,1.6,1.4,0.4,-2.9,-1.7,167,1403,151,24.53,0.4226,0.4329,A,N,Y,77.2,-0.7,71.7,0.7,0.4271,254,190
VITAGEN,91123,45986,CA,32044,202539,CONSUMER HEALTH CARE,PETER PARKER,2,VITAMINS & SUPPLEMENTS,Fiber Supplement 90ct,Bottom 50%,Escalate to Merchant,Low fill rate (<85%),N,Y,433,303,69.9,74.1,68.6,59.0,61.2,72.8,70.5,71.3,Y,Y,N,2025-09-18,2025-09-15,2025-09-17,2025-09-17,2025-09-19,0.7,-2.1,-2.9,-2.1,3.4,187,865,160,28.02,0.5598,0.5348,A,N,Y,65.7,-0.9,68.2,1.6,0.5111,433,70
BIOPLEX,72398,68493,IL,32045,202541,CONSUMER HEALTH CARE,NATASHA ROMANOV,10,FIRST AID,Multivitamin 90ct,Top 50%,Vendor Outreach,Weather delay,Y,N,119,116,97.8,100,81.5,100,94.6,99.0,91.4,83.7,Y,N,Y,2025-08-11,2025-08-13,2025-08-15,2025-08-20,2025-08-22,10.8,9.8,7.1,10.2,13.3,89,1675,185,23.27,0.8475,0.8096,A,N,N,94.0,10.1,93.6,11.1,0.2624,119,198
BIOMED,48902,27009,NC,32046,202538,CONSUMER HEALTH CARE,PETER PARKER,2,VITAMINS & SUPPLEMENTS,Allergy Relief 24ct,Top 10%,Escalate to Merchant,Manufacturing shortage,N,Y,417,299,71.6,58.1,69.4,73.0,68.8,82.9,69.6,60.1,Y,Y,N,2025-09-23,2025-09-20,2025-09-22,2025-09-22,2025-09-23,0.4,1.8,0.6,-1.2,-5.6,84,381,165,33.07,0.6739,0.6464,A,N,Y,67.3,-1.1,69.2,1.2,0.1883,417,292
MEDIQ,55013,91922,OH,32047,202535,CONSUMER HEALTH CARE,CAROL DANVERS,10,FIRST AID,Cat Litter 40lb,Bottom 50%,Vendor Outreach,Low fill rate (<85%),N,Y,136,90,66.0,62.9,61.7,63.6,53.8,53.8,56.5,81.5,Y,Y,N,2025-08-14,2025-08-17,2025-08-19,2025-08-20,2025-08-22,-1.7,4.7,1.9,-1.4,-4.0,327,112,254,123.75,0.6556,0.6602,A,N,Y,60.5,0.3,62.1,-1.0,0.2338,136,47
AKZE,32274,30719,WA,32048,202541,BEAUTY & PERSONAL CARE,NATASHA ROMANOV,7,SKIN CARE,Sunscreen SPF50 4oz,Top 10%,Vendor Outreach,>5 days late,N,N,360,314,87.2,91.7,81.8,94.5,86.6,76.3,95.2,83.4,Y,N,Y,2025-08-25,2025-08-28,2025-08-30,2025-09-02,2025-09-02,9.6,9.5,9.4,11.9,11.6,492,1822,81,26.29,0.9359,0.9793,A,N,N,88.7,10.6,87.4,10.4,0.5482,360,249
BIOPLEX,72398,75191,CA,32049,202542,CONSUMER HEALTH CARE,THOR ODINSON,2,VITAMINS & SUPPLEMENTS,Fiber Supplement 90ct,Bottom 50%,Escalate to Merchant,Low fill rate (<85%),,Y,173,86,49.5,44.4,47.9,51.6,33.0,50.0,44.4,42.1,Y,Y,N,2025-08-24,2025-08-21,2025-08-22,2025-08-22,2025-08-24,1.8,-3.8,4.4,1.1,-3.2,287,448,185,41.07,0.5213,0.4787,A,N,Y,44.2,-0.4,44.3,-0.5,0.375,173,75
