VENDOR_NAME,SKU_NBR,DC_ID,CATEGORY,DNP_RANKING,FILL_RATE,TOTAL_WEEKS_OF_SUPPLY,RECEIPT_DELAY_DAYS,OOS_LIKELY,FILL_RATE_ISSUE,AVG_FILL_RATE_4WK,AVG_RECEIPT_DELAY_4WK,AVG_FILL_RATE_8WK,AVG_RECEIPT_DELAY_8WK,STORE_COUNT,COMBINED_CAUSE,COMBINED_ACTION
GREENLEAF,15224,NY,HAIR CARE,Bottom 50%,99.4,31.78,6.6,N,N,97.6,5.9,96.6,4.5,215,>5 days late,
AKZE,69614,TX,HAIR CARE,Top 10%,91.1,25.14,15.4,N,N,81.2,18.2,84.5,20.2,70,>5 days late,
MEDIQ,75323,OH,PET SUPPLIES,Top 50%,88.7,28.24,-0.1,N,N,88.5,0.4,87.4,-0.2,132,Vendor capacity constraint,Without Exception
VITAGEN,40613,NY,DIGESTIVE HEALTH,Top 50%,56.8,39.36,7.5,Y,Y,58.5,10.1,58.9,11.7,259,Weather delay,
AKZE,90931,TX,PAIN MANAGEMENT,Bottom 50%,83.0,23.62,10.9,Y,Y,81.9,12.7,83.3,12.1,14,>5 days late,
BIOPLEX,98815,AZ,COLD & ALLERGY,Top 10%,89.5,29.88,0.5,N,N,90.2,2.6,91.8,3.1,80,Manufacturing shortage,Without Exception
NOVAPHARM,92242,CA,PERSONAL CARE,Bottom 50%,45.8,65.61,11.5,Y,Y,43.9,13.3,44.9,12.5,212,Transportation issue,
BIOPLEX,80329,TX,BABY CARE,Bottom 50%,68.1,32.23,15.5,Y,Y,66.0,14.6,66.6,13.0,222,Weather delay,
NOVAPHARM,74139,NC,SKIN CARE,Bottom 50%,59.5,90.97,11.4,Y,Y,61.6,13.9,58.6,15.7,129,Weather delay,
MEDIQ,88116,CA,PERSONAL CARE,Top 50%,47.7,23.74,3.2,Y,Y,50.9,2.7,49.7,9.8,237,Low fill rate (<85%),
NOVAPHARM,52219,NC,COLD & ALLERGY,Top 50%,65.8,24.64,3.6,Y,Y,63.5,2.3,62.9,3.9,252,Low fill rate (<85%),
NOVAPHARM,21188,TX,SKIN CARE,Bottom 50%,85.9,30.43,-1.6,N,N,84.9,-2.2,83.2,-1.9,295,Manufacturing shortage,Without Exception
GREENLEAF,96223,OH,DIGESTIVE HEALTH,Bottom 50%,80.5,49.69,20.6,Y,Y,84.7,19.8,86.2,20.1,236,>5 days late,
BIOPLEX,38255,AZ,VITAMINS & SUPPLEMENTS,Top 10%,95.2,25.32,8.1,N,N,94.3,8.1,94.4,8.5,217,Weather delay,
ULTRAMED,64747,OH,VITAMINS & SUPPLEMENTS,Top 10%,97.0,39.64,2.1,N,N,92.5,2.2,94.1,1.3,98,Low fill rate (<85%),Without Exception
MEDIQ,95918,TX,COLD & ALLERGY,Top 50%,93.7,34.57,1.3,N,N,80.0,1.2,86.2,3.5,31,Manufacturing shortage,Without Exception
GREENLEAF,95437,IL,HAIR CARE,Top 50%,59.8,29.9,3.0,Y,Y,60.0,2.0,59.1,3.0,82,Demand spike,
BIOPLEX,95990,NY,COLD & ALLERGY,Bottom 50%,68.3,22.75,1.6,Y,Y,62.6,2.7,70.4,2.5,88,Low fill rate (<85%),
MEDIQ,91885,FL,BABY CARE,Top 50%,50.5,27.76,3.7,Y,Y,47.0,2.5,47.0,3.7,274,Demand spike,
BIOPLEX,20993,FL,PERSONAL CARE,Top 10%,86.4,28.12,7.2,N,N,87.9,10.3,85.3,9.7,120,>5 days late,
BIOMED,89807,AZ,SKIN CARE,Bottom 50%,85.7,25.4,6.2,N,N,81.3,4.6,84.7,3.9,250,Transportation issue,
ULTRAMED,60709,GA,PERSONAL CARE,Bottom 50%,88.6,49.5,3.8,N,N,82.7,5.7,86.5,5.0,107,Demand spike,Without Exception
HEALTHCORP,16265,GA,PERSONAL CARE,Top 50%,72.7,24.53,1.6,Y,Y,77.2,-0.7,71.7,0.7,190,Low fill rate (<85%),
VITAGEN,45986,CA,VITAMINS & SUPPLEMENTS,Bottom 50%,69.9,28.02,0.7,Y,Y,65.7,-0.9,68.2,1.6,70,Low fill rate (<85%),
BIOPLEX,68493,IL,FIRST AID,Top 50%,97.8,23.27,10.8,N,N,94.0,10.1,93.6,11.1,198,Weather delay,
BIOMED,27009,NC,VITAMINS & SUPPLEMENTS,Top 10%,71.6,33.07,0.4,Y,Y,67.3,-1.1,69.2,1.2,292,Manufacturing shortage,
MEDIQ,91922,OH,FIRST AID,Bottom 50%,66.0,123.75,-1.7,Y,Y,60.5,0.3,62.1,-1.0,47,Low fill rate (<85%),
AKZE,30719,WA,SKIN CARE,Top 10%,87.2,26.29,9.6,N,N,88.7,10.6,87.4,10.4,249,>5 days late,
BIOPLEX,75191,CA,VITAMINS & SUPPLEMENTS,Bottom 50%,49.5,41.07,1.8,Y,Y,44.2,-0.4,44.3,-0.5,75,Low fill rate (<85%),
VITAGEN,58915,GA,PET SUPPLIES,Top 50%,91.0,28.57,20.0,N,N,87.3,22.9,88.4,22.4,23,Weather delay,
PRIMECARE,44803,NC,FIRST AID,Top 50%,63.1,69.94,16.5,Y,Y,57.2,18.8,63.5,18.8,282,>5 days late,
BIOMED,56437,OH,FIRST AID,Top 10%,93.4,21.91,4.5,N,N,97.0,4.3,95.7,4.2,297,Manufacturing shortage,Without Exception
BIOPLEX,27992,TX,FIRST AID,Bottom 50%,98.6,26.12,8.1,N,N,99.9,6.3,97.4,5.2,99,Transportation issue,
MEDIQ,14763,NY,BABY CARE,Top 50%,89.5,23.87,1.5,N,N,83.8,2.1,85.9,3.9,54,Manufacturing shortage,Without Exception
ULTRAMED,22502,FL,COLD & ALLERGY,Top 50%,88.9,26.28,2.6,N,N,96.4,3.5,92.9,2.9,201,Weather delay,Without Exception
SUNRISE,81989,WA,PET SUPPLIES,Bottom 50%,78.4,23.0,14.6,Y,Y,80.4,15.3,78.1,14.6,212,>5 days late,
AKZE,38560,NC,VITAMINS & SUPPLEMENTS,Top 10%,63.8,33.12,-1.1,Y,Y,71.8,-2.1,67.1,-2.7,247,Demand spike,
SUNRISE,81361,NY,PET SUPPLIES,Top 50%,87.3,38.9,9.6,N,N,91.6,8.3,88.6,10.5,173,>5 days late,
GREENLEAF,98150,GA,PAIN MANAGEMENT,Bottom 50%,88.3,28.07,1.0,N,N,92.5,0.8,90.2,2.2,39,Demand spike,Without Exception
VITAGEN,64592,AZ,PET SUPPLIES,Top 10%,90.0,22.08,6.6,N,N,93.1,8.8,89.6,11.1,114,>5 days late,
SYNCO,82362,GA,PERSONAL CARE,Top 50%,53.6,30.91,0.2,Y,Y,50.7,-0.4,50.6,2.1,261,Manufacturing shortage,
MEDIQ,56160,FL,COLD & ALLERGY,Bottom 50%,99.9,81.46,15.5,N,N,98.6,14.7,99.0,17.9,230,>5 days late,
NOVAPHARM,22624,AZ,COLD & ALLERGY,Bottom 50%,75.9,26.05,9.4,N,Y,76.6,10.3,74.0,12.2,31,Transportation issue,
SYNCO,84289,WA,PERSONAL CARE,Top 50%,79.6,21.33,12.0,Y,Y,79.8,10.1,80.2,12.1,213,>5 days late,
AKZE,93115,OH,BABY CARE,Top 10%,59.0,29.28,-1.4,Y,Y,58.2,-0.4,57.5,0.7,293,Manufacturing shortage,
GREENLEAF,88386,GA,SKIN CARE,Top 50%,43.7,44.4,1.5,Y,Y,46.9,2.4,48.2,4.1,79,Low fill rate (<85%),
HEALTHCORP,89064,IL,BABY CARE,Bottom 50%,89.4,25.41,0.8,N,N,84.5,1.5,87.2,-1.4,165,Low fill rate (<85%),Without Exception
BIOPLEX,96332,FL,SKIN CARE,Top 50%,61.1,28.5,1.8,Y,Y,61.8,3.6,57.6,4.2,266,Low fill rate (<85%),
HEALTHCORP,13219,WA,VITAMINS & SUPPLEMENTS,Top 50%,86.7,21.94,1.3,N,N,89.8,0.7,89.9,0.4,246,Demand spike,Without Exception
VITAGEN,92543,FL,COLD & ALLERGY,Bottom 50%,98.2,26.12,18.0,N,N,97.1,17.4,98.0,19.0,53,Transportation issue,
MEDIQ,51049,TX,PAIN MANAGEMENT,Bottom 50%,87.1,41.09,19.8,Y,N,82.6,19.6,82.5,19.5,237,>5 days late,
MEDIQ,20835,NC,DIGESTIVE HEALTH,Top 10%,93.1,136.72,18.3,N,N,92.3,17.6,92.3,21.0,189,Weather delay,
GREENLEAF,92938,NY,COLD & ALLERGY,Top 10%,88.1,27.28,0.0,N,N,92.1,0.9,92.4,2.3,82,Manufacturing shortage,Without Exception
ULTRAMED,45221,NY,SKIN CARE,Bottom 50%,73.8,32.98,18.7,Y,Y,67.7,16.6,67.7,16.1,34,>5 days late,
NOVAPHARM,92074,WA,DIGESTIVE HEALTH,Top 10%,83.6,26.61,4.1,N,Y,86.5,3.4,85.6,4.2,237,Low fill rate (<85%),
AKZE,55032,TX,SKIN CARE,Bottom 50%,86.3,27.43,16.2,Y,N,85.9,14.9,86.4,17.6,229,>5 days late,
MEDIQ,42477,OH,VITAMINS & SUPPLEMENTS,Top 50%,66.7,24.29,13.6,Y,Y,67.9,12.4,68.3,12.0,289,Transportation issue,
MEDIQ,71736,TX,DIGESTIVE HEALTH,Top 10%,85.6,24.94,14.0,Y,N,87.2,15.6,85.9,17.0,69,Transportation issue,
GREENLEAF,89800,CA,PERSONAL CARE,Top 10%,95.5,26.55,7.9,N,N,93.9,7.6,94.9,9.0,62,Weather delay,
ULTRAMED,25117,IL,PET SUPPLIES,Top 50%,88.7,24.45,0.9,N,N,92.7,1.4,93.0,3.4,293,Transportation issue,Without Exception
AKZE,58354,IL,PERSONAL CARE,Top 10%,60.4,23.9,9.7,Y,Y,58.3,8.5,59.1,10.8,32,>5 days late,
BIOMED,64140,GA,BABY CARE,Top 50%,76.1,34.72,2.9,N,Y,76.9,4.9,76.8,-0.1,71,Vendor capacity constraint,
MEDIQ,99922,OH,FIRST AID,Bottom 50%,87.2,21.65,-0.8,N,N,79.2,-1.4,83.8,0.6,142,Vendor capacity constraint,Without Exception
AKZE,18450,IL,BABY CARE,Top 50%,97.1,26.74,1.0,N,N,100.0,1.3,97.7,3.0,279,Transportation issue,Without Exception
ULTRAMED,81258,CA,SKIN CARE,Bottom 50%,55.1,33.31,3.7,Y,Y,53.8,5.2,56.3,7.5,98,Vendor capacity constraint,
SYNCO,87662,GA,HAIR CARE,Bottom 50%,81.7,22.64,7.4,N,Y,85.2,7.3,83.2,7.0,201,>5 days late,
ULTRAMED,61851,NC,VITAMINS & SUPPLEMENTS,Bottom 50%,72.2,22.94,4.2,Y,Y,67.9,6.2,68.7,6.1,63,Vendor capacity constraint,
MEDIQ,53406,TX,PAIN MANAGEMENT,Top 50%,97.3,23.39,16.8,N,N,93.0,19.3,94.5,19.4,27,>5 days late,
AKZE,51774,OH,VITAMINS & SUPPLEMENTS,Bottom 50%,87.4,30.68,16.6,Y,N,93.1,16.9,91.5,17.5,88,Weather delay,
HEALTHCORP,10500,NY,VITAMINS & SUPPLEMENTS,Top 50%,88.1,43.87,15.6,Y,N,79.5,16.8,84.1,16.4,126,Weather delay,
AKZE,60738,AZ,SKIN CARE,Bottom 50%,61.0,61.71,16.2,Y,Y,65.6,17.6,63.1,19.8,294,Transportation issue,
BIOMED,52746,OH,PET SUPPLIES,Top 50%,93.8,29.58,3.5,N,N,96.1,4.0,91.5,3.8,253,Manufacturing shortage,Without Exception
HEALTHCORP,12651,GA,PERSONAL CARE,Bottom 50%,95.4,24.12,-0.1,N,N,98.3,-1.5,95.4,0.5,108,Vendor capacity constraint,Without Exception
AKZE,42701,CA,BABY CARE,Top 50%,56.2,36.55,13.1,Y,Y,56.0,14.8,54.3,15.1,20,Transportation issue,
AKZE,72140,FL,COLD & ALLERGY,Bottom 50%,97.1,27.5,9.8,N,N,95.5,8.9,96.9,11.2,143,Weather delay,
SUNRISE,95389,OH,PAIN MANAGEMENT,Bottom 50%,97.1,27.61,0.9,N,N,91.1,1.2,92.7,-2.7,59,Vendor capacity constraint,Without Exception
MEDIQ,43902,AZ,COLD & ALLERGY,Bottom 50%,96.2,24.0,13.1,N,N,95.0,12.8,96.6,12.7,102,Transportation issue,
PRIMECARE,53598,FL,HAIR CARE,Top 10%,73.5,183.1,4.8,Y,Y,75.0,5.0,73.9,4.6,162,Demand spike,
PRIMECARE,78195,NC,PET SUPPLIES,Top 10%,90.1,24.95,-0.4,N,N,93.2,-0.6,93.6,-0.3,223,Partial shipment,Without Exception
VITAGEN,26199,AZ,PERSONAL CARE,Top 50%,94.5,31.5,16.8,N,N,92.8,16.5,93.1,19.1,16,>5 days late,
NOVAPHARM,24474,NC,BABY CARE,Bottom 50%,95.9,20.82,-1.3,N,N,96.9,-1.2,96.7,0.5,57,Partial shipment,Without Exception
HEALTHCORP,33969,TX,SKIN CARE,Bottom 50%,70.4,30.07,-1.3,Y,Y,68.7,-1.9,74.3,0.8,299,Demand spike,
ULTRAMED,54341,AZ,PET SUPPLIES,Top 50%,50.9,36.83,-1.6,Y,Y,49.9,-2.9,47.0,-0.4,239,Manufacturing shortage,
PRIMECARE,68598,GA,VITAMINS & SUPPLEMENTS,Top 50%,85.5,27.91,12.8,Y,N,77.2,12.6,77.7,12.7,159,Weather delay,
BIOMED,59006,TX,DIGESTIVE HEALTH,Top 50%,96.1,27.04,18.4,N,N,94.6,17.4,95.5,17.3,270,>5 days late,
SUNRISE,85832,FL,COLD & ALLERGY,Bottom 50%,78.8,28.3,12.8,Y,Y,80.6,14.4,81.1,13.2,101,>5 days late,
BIOMED,93476,GA,VITAMINS & SUPPLEMENTS,Top 10%,81.5,29.11,-1.9,N,Y,78.6,-2.1,79.3,-2.6,297,Low fill rate (<85%),
SUNRISE,94819,AZ,SKIN CARE,Bottom 50%,95.4,24.85,3.2,N,N,94.2,2.3,93.2,2.0,98,Weather delay,Without Exception
BIOMED,25643,NY,DIGESTIVE HEALTH,Top 50%,47.1,37.75,15.0,Y,Y,43.6,12.5,48.0,13.8,179,Transportation issue,
HEALTHCORP,48479,IL,FIRST AID,Top 10%,96.3,31.71,4.2,N,N,95.0,4.4,93.0,3.4,285,Vendor capacity constraint,Without Exception
AKZE,92173,TX,PAIN MANAGEMENT,Bottom 50%,93.1,30.38,-0.9,N,N,85.3,-0.5,89.0,-0.2,42,Demand spike,Without Exception
GREENLEAF,15965,TX,HAIR CARE,Top 50%,53.3,26.16,0.7,Y,Y,56.9,0.2,51.8,-1.6,186,Vendor capacity constraint,
VITAGEN,94663,AZ,COLD & ALLERGY,Top 50%,88.8,22.6,14.2,Y,N,91.5,13.9,87.5,12.9,166,Transportation issue,
GREENLEAF,29974,NC,FIRST AID,Bottom 50%,85.1,24.72,1.2,N,N,84.3,-0.2,84.9,1.5,118,Transportation issue,Without Exception
BIOMED,44159,AZ,PET SUPPLIES,Top 10%,79.2,25.8,-1.9,N,Y,73.0,-2.9,78.2,-5.2,128,Manufacturing shortage,
BIOPLEX,58422,IL,DIGESTIVE HEALTH,Top 10%,90.8,30.08,3.2,N,N,94.1,1.4,93.5,2.5,235,Partial shipment,Without Exception
SYNCO,20104,AZ,PERSONAL CARE,Top 50%,94.0,105.38,13.2,N,N,87.0,15.4,93.1,14.3,19,Transportation issue,
SUNRISE,96736,OH,VITAMINS & SUPPLEMENTS,Bottom 50%,78.2,27.3,16.9,Y,Y,78.3,17.5,77.8,16.5,57,Weather delay,
ULTRAMED,27082,NC,PET SUPPLIES,Top 50%,78.5,52.46,3.6,N,Y,77.2,1.8,77.5,1.9,228,Low fill rate (<85%),
GREENLEAF,43244,OH,PET SUPPLIES,Top 10%,57.5,25.76,17.6,Y,Y,59.0,15.2,57.2,12.9,12,Weather delay,
MEDIQ,71822,NC,SKIN CARE,Bottom 50%,43.5,30.37,2.2,Y,Y,46.6,2.4,43.2,2.9,54,Manufacturing shortage,
VITAGEN,56285,NY,SKIN CARE,Bottom 50%,71.0,22.34,4.7,Y,Y,69.1,4.6,69.7,7.2,298,Demand spike,
SYNCO,54520,WA,BABY CARE,Top 50%,43.0,54.65,1.6,Y,Y,30.7,1.4,37.1,0.8,133,Low fill rate (<85%),
SYNCO,40042,IL,PAIN MANAGEMENT,Bottom 50%,86.8,24.32,10.7,Y,N,92.2,11.7,89.6,9.7,71,Transportation issue,
BIOMED,70302,GA,DIGESTIVE HEALTH,Top 10%,54.3,22.99,0.6,Y,Y,50.7,-0.5,51.4,-2.9,86,Demand spike,
AKZE,33148,NY,BABY CARE,Top 50%,74.6,24.24,2.4,Y,Y,73.6,0.4,74.7,-5.0,259,Demand spike,
PRIMECARE,20277,NY,FIRST AID,Bottom 50%,78.2,30.35,7.2,N,Y,68.0,8.4,73.2,8.8,50,Weather delay,
MEDIQ,62041,TX,VITAMINS & SUPPLEMENTS,Bottom 50%,73.9,28.46,3.2,Y,Y,70.2,3.1,74.5,6.3,298,Demand spike,
BIOMED,93858,AZ,PERSONAL CARE,Top 10%,43.9,31.78,-1.0,Y,Y,48.9,-0.3,45.1,-1.7,209,Vendor capacity constraint,
SYNCO,44469,TX,SKIN CARE,Top 50%,97.1,26.92,2.5,N,N,91.2,4.0,93.3,4.1,169,Demand spike,Without Exception
HEALTHCORP,70776,CA,HAIR CARE,Bottom 50%,90.9,44.45,20.6,N,N,91.7,21.2,91.2,20.7,291,Transportation issue,
NOVAPHARM,43202,WA,PERSONAL CARE,Top 10%,95.0,26.31,4.8,N,N,95.8,4.7,93.4,3.6,295,Demand spike,Without Exception
HEALTHCORP,67503,IL,DIGESTIVE HEALTH,Top 10%,79.5,23.3,11.2,Y,Y,73.3,8.0,78.9,5.7,132,Transportation issue,
SUNRISE,18302,AZ,SKIN CARE,Bottom 50%,64.3,27.79,19.1,Y,Y,60.4,20.5,62.4,20.4,50,>5 days late,
ULTRAMED,17956,GA,PET SUPPLIES,Top 10%,97.4,24.31,-1.3,N,N,98.2,-2.5,97.0,-6.1,268,Weather delay,Without Exception
ULTRAMED,30732,AZ,FIRST AID,Bottom 50%,99.9,22.38,3.4,N,N,96.9,3.3,96.2,3.7,271,Manufacturing shortage,Without Exception
GREENLEAF,84922,FL,VITAMINS & SUPPLEMENTS,Top 50%,51.7,30.44,-0.5,Y,Y,53.5,-0.1,51.9,0.2,71,Low fill rate (<85%),
SUNRISE,95561,NC,DIGESTIVE HEALTH,Bottom 50%,54.0,28.42,2.0,Y,Y,50.2,2.1,49.3,1.0,110,Low fill rate (<85%),
GREENLEAF,78714,IL,PAIN MANAGEMENT,Top 10%,95.3,24.03,2.6,N,N,89.2,2.9,94.5,4.6,157,Manufacturing shortage,Without Exception
HEALTHCORP,24585,OH,BABY CARE,Bottom 50%,63.7,24.79,2.1,Y,Y,68.9,2.6,66.5,2.0,204,Low fill rate (<85%),
SUNRISE,23055,GA,BABY CARE,Top 50%,92.5,31.02,11.9,N,N,91.5,13.2,91.1,15.0,205,>5 days late,
ULTRAMED,90274,IL,SKIN CARE,Top 50%,80.0,23.33,2.9,N,Y,82.3,1.8,78.6,2.1,150,Manufacturing shortage,
SYNCO,23994,FL,COLD & ALLERGY,Top 10%,50.2,152.25,15.1,Y,Y,52.0,14.3,51.1,13.1,234,Transportation issue,
PRIMECARE,52584,WA,PAIN MANAGEMENT,Top 50%,96.0,24.03,1.6,N,N,91.1,0.0,92.0,2.6,160,Demand spike,Without Exception
AKZE,77760,FL,BABY CARE,Top 50%,47.9,30.25,12.8,Y,Y,37.9,14.0,43.5,15.6,97,Transportation issue,
GREENLEAF,96445,FL,COLD & ALLERGY,Bottom 50%,91.3,25.22,-0.2,N,N,90.5,0.3,91.3,1.5,116,Demand spike,Without Exception
MEDIQ,29432,CA,HAIR CARE,Top 50%,93.7,87.77,-0.0,N,N,90.9,1.0,92.8,1.2,278,Partial shipment,Without Exception
SUNRISE,37400,NC,DIGESTIVE HEALTH,Bottom 50%,95.9,20.82,4.5,N,N,88.4,2.4,90.7,2.3,180,Demand spike,Without Exception
BIOMED,93558,IL,DIGESTIVE HEALTH,Bottom 50%,53.5,24.71,2.3,Y,Y,53.4,1.5,53.4,4.5,163,Low fill rate (<85%),
SUNRISE,98892,GA,PET SUPPLIES,Bottom 50%,90.0,60.97,8.5,N,N,92.2,9.8,89.2,10.6,201,Transportation issue,
SYNCO,22137,WA,PET SUPPLIES,Bottom 50%,87.9,27.55,3.8,N,N,84.4,3.9,89.5,6.0,169,Partial shipment,Without Exception
SYNCO,52058,IL,PAIN MANAGEMENT,Top 10%,59.4,76.33,0.2,Y,Y,61.3,1.3,58.7,0.7,238,Manufacturing shortage,
HEALTHCORP,50952,GA,PAIN MANAGEMENT,Top 50%,96.5,29.04,2.5,N,N,96.8,3.2,95.9,3.3,246,Demand spike,Without Exception
BIOPLEX,55693,NC,FIRST AID,Top 50%,95.7,36.62,8.4,N,N,99.7,9.3,96.0,11.7,247,Weather delay,
BIOMED,22799,WA,COLD & ALLERGY,Bottom 50%,95.3,28.81,8.1,N,N,87.7,8.8,92.6,11.2,232,Transportation issue,
HEALTHCORP,21703,NC,DIGESTIVE HEALTH,Top 50%,77.5,23.11,-1.8,N,Y,83.2,-2.6,77.9,0.8,15,Demand spike,
ULTRAMED,12058,FL,BABY CARE,Top 50%,97.1,35.51,12.4,N,N,91.3,12.3,90.6,12.4,256,Weather delay,
NOVAPHARM,28623,AZ,PERSONAL CARE,Top 10%,86.3,22.35,11.2,Y,N,84.2,9.5,82.8,11.6,159,>5 days late,
GREENLEAF,13578,OH,BABY CARE,Top 50%,74.5,42.43,4.4,Y,Y,77.8,5.2,76.0,2.4,95,Manufacturing shortage,
GREENLEAF,55229,CA,PERSONAL CARE,Top 10%,92.1,24.52,12.5,N,N,88.6,13.0,87.5,12.8,210,Weather delay,
ULTRAMED,41692,NC,PAIN MANAGEMENT,Top 10%,53.8,45.89,11.3,Y,Y,57.5,12.1,53.6,14.5,160,Transportation issue,
ULTRAMED,19924,WA,PERSONAL CARE,Top 50%,43.3,34.41,4.5,Y,Y,42.0,6.8,42.9,6.3,10,Demand spike,
ULTRAMED,61181,OH,COLD & ALLERGY,Bottom 50%,71.1,21.1,9.4,Y,Y,63.1,9.4,67.2,12.6,30,Weather delay,
ULTRAMED,35035,OH,SKIN CARE,Top 10%,59.3,29.79,1.5,Y,Y,67.7,0.2,65.4,1.0,260,Demand spike,
AKZE,71763,NC,DIGESTIVE HEALTH,Top 10%,85.7,24.89,7.6,N,N,85.8,6.8,83.8,6.5,42,Weather delay,
BIOPLEX,28512,NY,COLD & ALLERGY,Top 10%,98.9,23.1,8.7,N,N,97.4,7.2,98.8,9.7,265,>5 days late,
NOVAPHARM,92207,OH,HAIR CARE,Top 10%,45.2,23.76,17.6,Y,Y,40.9,18.5,43.6,20.0,285,Transportation issue,
MEDIQ,13809,WA,PET SUPPLIES,Top 50%,91.7,40.77,0.9,N,N,84.5,0.6,88.9,1.2,26,Weather delay,Without Exception
GREENLEAF,17818,OH,COLD & ALLERGY,Bottom 50%,73.5,30.78,2.0,Y,Y,79.2,1.7,79.5,6.2,32,Manufacturing shortage,
PRIMECARE,76088,CA,SKIN CARE,Bottom 50%,70.7,23.77,-0.3,Y,Y,78.5,2.0,74.1,2.5,46,Low fill rate (<85%),
SUNRISE,53634,AZ,DIGESTIVE HEALTH,Bottom 50%,99.2,25.72,-1.6,N,N,93.2,-1.5,93.9,-2.2,117,Transportation issue,Without Exception
SYNCO,52003,GA,PERSONAL CARE,Top 50%,56.4,35.48,0.6,Y,Y,54.0,2.8,54.2,0.0,77,Low fill rate (<85%),
HEALTHCORP,65067,WA,DIGESTIVE HEALTH,Top 50%,97.0,25.88,13.3,N,N,94.0,11.1,94.0,11.6,92,Transportation issue,
BIOMED,47387,FL,COLD & ALLERGY,Top 50%,99.9,23.6,12.7,N,N,96.1,13.9,96.4,13.3,299,>5 days late,
PRIMECARE,54392,TX,BABY CARE,Top 50%,53.6,40.18,14.8,Y,Y,49.7,14.2,54.9,12.7,228,>5 days late,
VITAGEN,58867,CA,PERSONAL CARE,Bottom 50%,78.5,30.63,1.0,N,Y,79.2,1.0,79.5,2.8,80,Demand spike,
MEDIQ,60039,OH,PET SUPPLIES,Top 50%,97.5,22.5,4.7,N,N,95.8,6.6,96.5,5.5,142,Demand spike,Without Exception
